phylum	genus	abundance
Proteobacteria	Ferribacterium	0.012639405204460967
Proteobacteria	Legionella	0.017843866171003718
Proteobacteria	Sulfuritalea	0.04981412639405204
Proteobacteria	Polynucleobacter	0.1241635687732342
Firmicutes	ClostridiumIII	0.055762081784386616
Proteobacteria	Methylotenera	0.011152416356877323
Proteobacteria	Methylocystis	0.0022304832713754648
Proteobacteria	Variovorax	0.09293680297397769
Proteobacteria	Rhodoferax	0.016356877323420074
Bacteroidetes	Ferruginibacter	0.02379182156133829
Proteobacteria	Polynucleobacter	0.0691449814126394
Proteobacteria	Brevundimonas	0.035687732342007436
Proteobacteria	Aquincola	0.022304832713754646
Proteobacteria	Methylobacillus	0.02453531598513011
Proteobacteria	Anaeromyxobacter	0.015613382899628252
Proteobacteria	Geobacter	0.020074349442379184
Actinobacteria	Rhodoluna	0.009665427509293681
Proteobacteria	Pantoea	0.023048327137546468
Proteobacteria	Rhizobium	0.01412639405204461
Proteobacteria	Curvibacter	0.01858736059479554
Proteobacteria	Mitsuaria	0.002973977695167286
Proteobacteria	Legionella	0.017100371747211896
Proteobacteria	Legionella	0.020074349442379184
Proteobacteria	Anaeromyxobacter	0.0044609665427509295
Proteobacteria	Janthinobacterium	0.022304832713754646
Proteobacteria	Geobacter	0.001486988847583643
Proteobacteria	Limnohabitans	0.0007434944237918215
Proteobacteria	Limnohabitans	0.008178438661710037
Bacteroidetes	Flavobacterium	0.006691449814126394
Firmicutes	ClostridiumXlVa	0.019330855018587362
Firmicutes	Clostridiumsensustricto	0.01858736059479554
Proteobacteria	Chelativorans	0.0037174721189591076
Microgenomates	Microgenomates	0.038661710037174724
Proteobacteria	Dechloromonas	0.0044609665427509295
Proteobacteria	Geobacter	0.0022304832713754648
Proteobacteria	Rhodocyclus	0.022304832713754646
Actinobacteria	Agrococcus	0.007434944237918215
Proteobacteria	Limnohabitans	0.020074349442379184
Proteobacteria	Methylotenera	0.0007434944237918215
Proteobacteria	Methylocystis	0.0007434944237918215
Firmicutes	Clostridiumsensustricto	0.021561338289962824
Firmicutes	Clostridiumsensustricto	0.0022304832713754648
Proteobacteria	Sphingomonas	0.005947955390334572
Actinobacteria	Rhodoluna	0.011152416356877323
Proteobacteria	Methylocystis	0.01858736059479554
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Dechloromonas	0.0022304832713754648
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingomonas	0.007434944237918215
Proteobacteria	Methylocystis	0.0044609665427509295
Proteobacteria	Polynucleobacter	0.0007434944237918215
Proteobacteria	Rhodoferax	0.0007434944237918215
Proteobacteria	Methylocystis	0.0
Proteobacteria	Dokdonella	0.0037174721189591076
Cyanobacteria	Streptophyta	0.0
Proteobacteria	Aquincola	0.008921933085501859
Bacteroidetes	Mucilaginibacter	0.0022304832713754648
Proteobacteria	Legionella	0.002973977695167286
Bacteroidetes	Pseudarcicella	0.0007434944237918215
Proteobacteria	Pelobacter	0.0007434944237918215
Proteobacteria	Propionivibrio	0.0007434944237918215
Bacteroidetes	Solitalea	0.008178438661710037
Proteobacteria	Limnohabitans	0.0007434944237918215
Proteobacteria	Pleomorphomonas	0.0
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Hyphomicrobium	0.0
Proteobacteria	Rivibacter	0.002973977695167286
Proteobacteria	Propionivibrio	0.0007434944237918215
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0007434944237918215
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquisalimonas	0.002973977695167286
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Ectothiorhodospira	0.0007434944237918215
Proteobacteria	Polynucleobacter	0.0007434944237918215
Proteobacteria	Limnohabitans	0.001486988847583643
Proteobacteria	Limnohabitans	0.0007434944237918215
Proteobacteria	Limnohabitans	0.0007434944237918215
Proteobacteria	Limnohabitans	0.001486988847583643
Actinobacteria	Microbacterium	0.0007434944237918215
Proteobacteria	Limnohabitans	0.0
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Ferribacterium	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
