phylum	genus	abundance
Proteobacteria	Ferribacterium	0.0038009675190048375
Proteobacteria	Legionella	0.06599861782999308
Proteobacteria	Sulfuritalea	0.0010366275051831375
Proteobacteria	Polynucleobacter	0.0359364201796821
Firmicutes	ClostridiumIII	0.056668970283344854
Proteobacteria	Methylotenera	0.0248790601243953
Proteobacteria	Methylocystis	0.000691085003455425
Proteobacteria	Variovorax	0.023151347615756736
Proteobacteria	Rhodoferax	0.04284727021423635
Bacteroidetes	Ferruginibacter	0.019004837595024186
Proteobacteria	Polynucleobacter	0.022460262612301312
Proteobacteria	Brevundimonas	0.044920525224602624
Proteobacteria	Aquincola	0.03559087767795439
Proteobacteria	Methylobacillus	0.00138217000691085
Proteobacteria	Anaeromyxobacter	0.005874222529371113
Proteobacteria	Geobacter	0.013476157567380787
Actinobacteria	Rhodoluna	0.026606772633033862
Proteobacteria	Pantoea	0.021078092605390463
Proteobacteria	Rhizobium	0.04906703524533518
Proteobacteria	Curvibacter	0.002073255010366275
Proteobacteria	Mitsuaria	0.0003455425017277125
Proteobacteria	Legionella	0.0525224602626123
Proteobacteria	Legionella	0.0031098825155494126
Proteobacteria	Anaeromyxobacter	0.00414651002073255
Proteobacteria	Janthinobacterium	0.1022805805114029
Proteobacteria	Geobacter	0.0010366275051831375
Proteobacteria	Limnohabitans	0.00138217000691085
Proteobacteria	Limnohabitans	0.010020732550103663
Bacteroidetes	Flavobacterium	0.04111955770559779
Firmicutes	ClostridiumXlVa	0.022805805114029024
Firmicutes	Clostridiumsensustricto	0.013476157567380787
Proteobacteria	Chelativorans	0.007256392536281963
Microgenomates	Microgenomates	0.00414651002073255
Proteobacteria	Dechloromonas	0.0031098825155494126
Proteobacteria	Geobacter	0.0010366275051831375
Proteobacteria	Rhodocyclus	0.004492052522460262
Actinobacteria	Agrococcus	0.004492052522460262
Proteobacteria	Limnohabitans	0.0017277125086385626
Proteobacteria	Methylotenera	0.0048375950241879755
Proteobacteria	Methylocystis	0.00138217000691085
Firmicutes	Clostridiumsensustricto	0.06530753282653766
Firmicutes	Clostridiumsensustricto	0.002073255010366275
Proteobacteria	Sphingomonas	0.009329647546648237
Actinobacteria	Rhodoluna	0.012093987560469938
Proteobacteria	Methylocystis	0.021078092605390463
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Dechloromonas	0.0003455425017277125
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Sphingomonas	0.0414651002073255
Proteobacteria	Methylocystis	0.005183137525915688
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Rhodoferax	0.00138217000691085
Proteobacteria	Methylocystis	0.0003455425017277125
Proteobacteria	Dokdonella	0.0038009675190048375
Cyanobacteria	Streptophyta	0.0
Proteobacteria	Aquincola	0.0010366275051831375
Bacteroidetes	Mucilaginibacter	0.035245335176226675
Proteobacteria	Legionella	0.004492052522460262
Bacteroidetes	Pseudarcicella	0.0
Proteobacteria	Pelobacter	0.00138217000691085
Proteobacteria	Propionivibrio	0.0
Bacteroidetes	Solitalea	0.0027643400138217
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Pleomorphomonas	0.00138217000691085
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Hyphomicrobium	0.002073255010366275
Proteobacteria	Rivibacter	0.0024187975120939877
Proteobacteria	Propionivibrio	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.000691085003455425
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Aquisalimonas	0.0010366275051831375
Proteobacteria	Polynucleobacter	0.0003455425017277125
Proteobacteria	Ectothiorhodospira	0.0
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0
Proteobacteria	Limnohabitans	0.0003455425017277125
Actinobacteria	Microbacterium	0.0010366275051831375
Proteobacteria	Limnohabitans	0.0003455425017277125
Bacteroidetes	Pseudarcicella	0.0003455425017277125
Proteobacteria	Polynucleobacter	0.0003455425017277125
Proteobacteria	Limnohabitans	0.0003455425017277125
Proteobacteria	Limnohabitans	0.0003455425017277125
Proteobacteria	Ferribacterium	0.0003455425017277125
Proteobacteria	Polynucleobacter	0.0
Proteobacteria	Methylotenera	0.0
Proteobacteria	Polynucleobacter	0.0
